Location,Cruise,Latitude,Longitude,Date_Time,Temp,Sal,DO,Depth,pH,Sigma_t
Well 12,15,32.726637,79.615086,9/8/21 10:33,26.79,33.88,6.39,9,7.89,21.97
Well 12,15,32.726637,79.615086,9/8/21 10:34,26.79,33.88,6.35,9.96,7.89,21.97
Well 12,15,32.726637,79.615086,9/8/21 10:34,26.79,33.88,6.33,10.61,7.88,21.97
Well 7,15,32.706873,79.661068,9/8/21 12:31,28.44,33.15,6.6,0.37,8.03,20.89
Well 7,15,32.706873,79.661068,9/8/21 12:31,28.43,33.14,6.63,1.21,8,20.88
Well 7,15,32.706873,79.661068,9/8/21 12:31,28.33,33.1,6.67,2.06,7.98,20.88
Well 7,15,32.706873,79.661068,9/8/21 12:31,28.05,33.13,6.74,2.96,7.97,21
Well 7,15,32.706873,79.661068,9/8/21 12:32,27.88,33.19,6.71,4.04,7.95,21.1
Well 7,15,32.706873,79.661068,9/8/21 12:32,27.67,33.24,6.78,6.22,7.93,21.2
Well 7,15,32.706873,79.661068,9/8/21 12:32,27.11,33.65,6.8,6.96,7.92,21.69
Well 7,15,32.706873,79.661068,9/8/21 12:33,27.01,33.72,6.66,8.04,7.9,21.78
Well 7,15,32.706873,79.661068,9/8/21 12:33,27.01,33.73,6.68,9.1,7.9,21.78
Well 7,15,32.706873,79.661068,9/8/21 12:33,27,33.73,6.66,10.06,7.89,21.79
Well 7,15,32.706873,79.661068,9/8/21 12:34,26.99,33.73,6.67,11.22,7.89,21.79
Well 7,15,32.706873,79.661068,9/8/21 12:34,26.99,33.74,6.64,11.33,7.89,21.8
Well 11,15,32.7671,79.6414,10/8/21 8:27,28.24,33.11,6.52,0.57,8.04,20.92
Well 11,15,32.7671,79.6414,10/8/21 8:28,28.24,33.1,6.45,1.23,8.01,20.91
Well 11,15,32.7671,79.6414,10/8/21 8:28,28.23,33.11,6.42,3.06,7.99,20.92
Well 11,15,32.7671,79.6414,10/8/21 8:29,28.11,33.18,6.4,4.27,7.97,21.02
Well 11,15,32.7671,79.6414,10/8/21 8:29,27.78,33.28,6.32,5.21,7.95,21.2
Well 11,15,32.7671,79.6414,10/8/21 8:30,27.16,33.65,6.27,5.94,7.92,21.68
Well 11,15,32.7671,79.6414,10/8/21 8:31,27.08,33.7,6.21,7.07,7.91,21.74
Well 11,15,32.7671,79.6414,10/8/21 8:31,27.08,33.69,6.19,8.04,7.9,21.73
Well 11,15,32.7671,79.6414,10/8/21 8:31,27.07,33.69,6.17,9,7.9,21.73
Well 11,15,32.7671,79.6414,10/8/21 8:32,27.07,33.7,6.16,10.23,7.9,21.74
Well 11,15,32.7671,79.6414,10/8/21 8:32,27.07,33.69,6.16,11.08,7.9,21.73
Well 9,15,32.75636,79.663173,10/8/21 10:04,28.48,29.42,6.72,0.329,8,18.08
Well 9,15,32.75636,79.663173,10/8/21 10:05,28.38,29.4,6.74,1.858,7.96,18.1
Well 9,15,32.75636,79.663173,10/8/21 10:05,28.34,29.31,6.76,3.071,7.95,18.04
Well 9,15,32.75636,79.663173,10/8/21 10:06,28.21,33.07,6.63,4.16,7.94,20.9
Well 9,15,32.75636,79.663173,10/8/21 10:06,28,33.26,6.61,4.949,7.93,21.11
Well 9,15,32.75636,79.663173,10/8/21 10:06,27.64,33.37,6.52,5.872,7.92,21.31
Well 9,15,32.75636,79.663173,10/8/21 10:07,27.3,33.58,6.43,6.817,7.91,21.58
Well 9,15,32.75636,79.663173,10/8/21 10:07,27.29,33.59,6.36,8.061,7.9,21.59
Well 9,15,32.75636,79.663173,10/8/21 10:07,27.26,33.59,6.28,8.945,7.9,21.6
Well 9,15,32.75636,79.663173,10/8/21 10:07,27.26,33.6,6.22,9.999,7.89,21.61
Well 9,15,32.75636,79.663173,10/8/21 10:08,27.24,33.61,6.15,11.159,7.89,21.62
Well 9,15,32.75636,79.663173,10/8/21 10:08,27.23,33.62,6.09,11.951,7.88,21.63
Well 9,15,32.75636,79.663173,10/8/21 10:08,27.22,33.63,5.99,13.071,7.88,21.64
